              start,                   end,  length,   inter,    swel,    hsig,     tps,  a_hsig,   a_tps
2006-11-22 14:00:00,   2006-11-24 09:00:00,      43,     181,    0.25,    4.69,   10.00,    3.92,    8.84
2006-12-01 22:00:00,   2006-12-02 14:00:00,      16,     577,   -0.19,    5.75,    9.09,    4.25,    9.20
2006-12-26 15:00:00,   2006-12-27 04:00:00,      13,     944,    0.21,    3.32,   10.00,    3.10,   10.09
2007-02-04 12:00:00,   2007-02-04 16:00:00,       4,     234,   -0.57,    3.45,    7.14,    3.19,    6.80
2007-02-14 10:00:00,   2007-02-15 11:00:00,      25,     364,    0.28,    5.11,   10.00,    4.06,   10.08
2007-03-02 15:00:00,   2007-03-03 12:00:00,      21,      73,    0.17,    4.46,    9.09,    3.75,   10.51
2007-03-06 13:00:00,   2007-03-06 17:00:00,       4,     237,   -0.70,    3.22,    7.69,    3.12,    6.88
2007-03-16 14:00:00,   2007-03-18 05:00:00,      39,      50,    0.30,    4.77,    8.33,    3.70,    9.46
2007-03-20 07:00:00,   2007-03-20 13:00:00,       6,     371,   -0.07,    3.82,    8.33,    3.36,    8.24
2007-04-05 00:00:00,   2007-04-05 03:00:00,       3,     183,    0.34,    3.30,    6.67,    3.17,    7.56
2007-04-12 18:00:00,   2007-04-13 00:00:00,       6,      67,    0.02,    4.09,    8.33,    3.61,    8.22
2007-04-15 19:00:00,   2007-04-17 11:00:00,      40,    1152,    0.56,    6.77,   10.00,    4.72,   11.08
2007-06-04 11:00:00,   2007-06-04 23:00:00,      12,    3630,    0.38,    3.57,   10.81,    3.25,   10.69
2007-11-03 05:00:00,   2007-11-04 03:00:00,      22,     715,    0.35,    4.69,    8.33,    4.04,    9.69
2007-12-03 22:00:00,   2007-12-04 13:00:00,      15,     286,   -0.08,    3.46,   10.00,    3.23,    8.15
2007-12-16 11:00:00,   2007-12-17 19:00:00,      32,     166,   -0.04,    5.84,    8.33,    4.34,    9.32
2007-12-24 17:00:00,   2007-12-25 00:00:00,       7,     377,   -0.21,    3.73,   10.81,    3.27,   10.90
2008-01-09 17:00:00,   2008-01-09 21:00:00,       4,     103,   -0.14,    3.39,    7.69,    3.17,    7.69
2008-01-14 04:00:00,   2008-01-14 17:00:00,      13,     319,    0.25,    3.68,    7.69,    3.37,    8.36
2008-01-28 00:00:00,   2008-01-28 11:00:00,      11,      53,    0.41,    4.24,   11.43,    3.64,   10.42
2008-01-30 16:00:00,   2008-01-31 06:00:00,      14,      35,   -0.20,    3.74,    9.09,    3.34,    9.10
2008-02-01 17:00:00,   2008-02-02 18:00:00,      25,     200,   -0.02,    3.57,    7.14,    3.28,    7.77
2008-02-11 02:00:00,   2008-02-11 08:00:00,       6,      58,   -0.63,    3.44,    7.69,    3.22,    7.69
2008-02-13 18:00:00,   2008-02-14 17:00:00,      23,      92,    0.03,    5.19,   12.90,    4.07,   12.48
2008-02-18 13:00:00,   2008-02-19 21:00:00,      32,     354,   -0.06,    3.77,    8.33,    3.30,    9.66
2008-03-05 15:00:00,   2008-03-06 07:00:00,      16,      61,   -0.06,    3.72,   10.81,    3.29,    9.96
2008-03-08 20:00:00,   2008-03-10 01:00:00,      29,     245,   -0.32,    5.30,   11.43,    4.14,   10.38
2008-03-20 06:00:00,   2008-03-20 14:00:00,       8,     142,    0.40,    3.48,    9.09,    3.30,    8.97
2008-03-26 12:00:00,   2008-03-26 17:00:00,       5,     146,   -0.18,    3.10,    8.33,    3.06,    7.71
2008-04-01 19:00:00,   2008-04-02 09:00:00,      14,     961,   -0.22,    4.05,   10.00,    3.47,    9.38
2008-05-12 10:00:00,   2008-05-13 07:00:00,      21,    2802,    0.47,    3.96,    8.33,    3.53,    8.61
2008-09-07 01:00:00,   2008-09-07 11:00:00,      10,     433,   -0.07,    5.50,   12.12,    4.35,   10.76
2008-09-25 12:00:00,   2008-09-26 17:00:00,      29,      46,    0.24,    4.07,    9.09,    3.54,   10.33
